codigo_negocio,nombre_patrimonio,codigo_entidad,nombre_subtipo_patrimonio,fmin,fmax,n,anio
87268,FONDO DE CAPITAL PRIVADO BTG PACTUAL ACTIVOS ALTERNATIVOS COMPARTIMENTO ACTIVOS CREDITICIOS I,14,FONDOS DE CAPITAL PRIVADO,2019-08-06T00:00:00.000,2019-12-31T00:00:00.000,148,2019
85000,FONDO DE CAPITAL PRIVADO BTG PACTUAL ACTIVOS ALTERNATIVOS COMPARTIMENTO SMPI,14,FONDOS DE CAPITAL PRIVADO,2019-04-08T00:00:00.000,2019-12-31T00:00:00.000,268,2019
53967,FIC COLECTIVO II,58,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
81965,FONDO DE CAPITAL PRIVADO BTG PACTUAL TAURUS CAPITAL COMPARTIMENTO I,14,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
62633,FIDUCOLDEX CAPITAL INTELIGENTE FONDO DE INVERSION COLECTIVA,40,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,730,2019
58916,FONVAL ACCIONES RECURSOS NATURALES,28,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-07-11T00:00:00.000,192,2019
11714,FONDO ABIERTO FIDUCIARIA CENTRAL,38,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,2369,2019
48153,FONDO DE INVERSION COLECTIVA ABIERTO ITAU CORTO PLAZO,23,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,1786,2019
83314,CREDICORP CAPITAL DERECHOS ECONOMICOS 2026,28,FIC DE TIPO GENERAL,2019-03-12T00:00:00.000,2019-12-31T00:00:00.000,295,2019
80265,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA VALOR ESTRATEGICO ? FONDO CON PARTICI,12,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
76410,F.I.C. ESTRATEGIA MODERADA,20,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
76412,F.I.C. DEUDA CORPORATIVA,20,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
81411,FCP NUEVOMUNDO COMPARTIMENTO 1,21,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
58684,FONDO DE INVERSIÓN COLECTIVA ABIERTO BTG PACTUAL DEUDA PÚBLICA,14,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-03-28T00:00:00.000,254,2019
73588,FCP VALOR FORESTAL CAUCHO 7 (EN LIQUIDACIÓN),38,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
50277,FONDO DE CAPITAL PRIVADO RUTA DEL SOL COMPARTIMENTO A2,16,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
66509,"FONDO DE INVERSION COLECTIVA CERRADO INMOBILIARIO ""PROGRESION RENTAR 2015""",11,FIC INMOBILIARIAS,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
34163,FONDO CERRADO INMOBILIARIO ALIANZA,16,FIC INMOBILIARIAS,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
60349,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ULTRAINVERSIÓN,62,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
67405,FONDO ABIERTO CON PACTO DE PERMANENCIA ALIANZA RENTA FIJA GLOBAL.,16,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,1943,2019
50280,FONDO DE CAPITAL PRIVADO RUTA DEL SOL COMPARTIMENTO B2,16,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59954,INMOVAL DESARROLLOS - EN LIQUIDACION,28,FIC INMOBILIARIAS,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
25743,FONDO CERRADO MAS COLOMBIA OPPORTUNITY,16,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
65869,FONDO DE CAPITAL PRIVADO YELLOWSTONE CAPITAL FUND I- COMPARTIMENTO AI,16,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
11403,CARTERA COLECTIVA ABIERTA CON PACTO DE PERMANENCIA EFECTIVO A PLAZOS - CARTERA CON COMPARTIMENTOS,12,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,1825,2019
66652,FONDO DE CAPITAL TERRANUM COMPARTIMENTO,16,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59002,FONDO DE CAPITAL PRIVADO ALTRA FCP II,26,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
58438,"FONDO DE INVERSION COLECTIVA ""SERFINCO ACCIONES""",62,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
51220,COMPARTIMENTO DIVERSIFICADO DE DESARROLLOS INMOBILIARIOS,21,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
63109,FONDO DE INVERSION COLECTIVA ABIERTO PROGRESION LIQUIDEZ,11,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
73493,FONDO DE CAPITAL PRIVADO YELLOWSTONE CAPITAL FUND I -COMPARTIMENTO PROSCENIO AII,16,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
60599,FONDO DE CAPITAL PRIVADO BTG PACUAL CACAO SUBCOMP Z ECOCACAO - COMP I - FCP BTG PACTUAL FCP CACAO,14,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
42259,COMPARTIMENTO II DEL FONDO DE CAPITAL PRIVADO FINTRA,20,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
90025,FONDO DE CAPITAL PRIVADO SUMATORIA DEUDA GLOBAL,26,FONDOS DE CAPITAL PRIVADO,2019-12-11T00:00:00.000,2019-12-31T00:00:00.000,21,2019
58564,FONDO DE INVERSIÓN COLECTIVA ABIERTO BTG PACTUAL LIQUIDEZ,14,FIC DE MERCADO MONETARIO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,2190,2019
51325,FONDO NAZCA INVESTMENT,21,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
60567,FONDO DE CAPITAL PRIVADO BTG PACUAL CACAO SUBCOMP A - COMP I - FCP BTG PACTUAL FCP CACAO,14,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
75674,FONDO DE INVERSIÓN COLECTIVA RENTA ESTABLE DE LA FAMILIA DE FONDOS DE FIDUAGRARIA S.A,39,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-09-30T00:00:00.000,273,2019
54573,FONDO DE INVERSIÓN COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA ARCO IRIS CONSERVADOR,33,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
76873,FONDO DE CAPITAL PRIVADO PROGRESION PROFUTBOL,11,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
50413,FONDO DE CAPITAL PRIVADO TRIBECA FUND I FCP,16,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
60200,FONDO DE INVERSIÓN COLECTIVA CERRADO BTG PACTUAL CREDIVALORES I,14,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,730,2019
22969,FONDO DE INVERSION COLECTIVA ABIERTO SUMAR,22,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,4015,2019
88799,FONDO DE INVERSION COLECTIVA ABIERTO SIN PACTO DE PERMANECIA DENOMINADO DOLAR EFECTIVO II,62,FIC DE TIPO GENERAL,2019-10-18T00:00:00.000,2019-12-31T00:00:00.000,75,2019
