codigo_negocio,entidad,nombre,subtipo,aum,inversionistas,n_clases,rent_anual_med,clase_principal,valor_unidad_operaciones,cat_nombre,aum_bn_cop
59105,Credicorp Capital,CREDICORP CAPITAL ACCIONES COLOMBIA,FIC DE TIPO GENERAL,426900011860.24,2325,4,50.232912999999996,800,43869.038699,RV_LOCAL,426.9
128988,Fiduaval,FONDO DE INVERSIÓN COLECTIVA ABIERTO RENTAR,FIC DE TIPO GENERAL,400033169683.51,2161,8,8.605787,534,14607.739941,SIN_CLASIFICAR,400.0
63301,Valores Bancolombia S.A. Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA ABIERTO RENTA ALTA CONVICCION,FIC DE TIPO GENERAL,356182214491.31995,3650,3,23.378602,803,30306.388532,RF_LARGO,356.2
82379,Fiduciaria Coomeva S.A.,FIC ABIERTO CON PACTO DE PERMANENCIA AVANZAR 90 DIAS,FIC DE TIPO GENERAL,324401038711.17,2815,7,11.293662,511,19890.345489,RF_LARGO,324.4
120541,Alianza Fiduciaria S.A.,FONDO ALIANZA FACTORING 6 MESES,FIC DE TIPO GENERAL,316912648840.74,1593,7,10.721941,503,12185.931119,SIN_CLASIFICAR,316.9
59738,Valores Bancolombia S.A. Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA ABIERTO RENTA VARIABLE COLOMBIA,FIC DE TIPO GENERAL,312188354265.39,3724,3,43.939108,803,31525.50073,SIN_CLASIFICAR,312.2
71197,Fiduciaria Coomeva S.A.,FONDO DE INVERSIÓN COLECTIVA ABIERTO FIC AVANZAR VISTA,FIC DE TIPO GENERAL,297571430360.74,2101,8,8.272167,536,14768.716003,RF_CORTO,297.6
119144,Itaú Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA ABIERTO ITAU CORTO PLAZO,FIC DE TIPO GENERAL,297543455432.74,10397,6,8.748157,518,6957779.414071,RF_CORTO,297.5
36570,Fiduciaria Central S.A. Sigla Fiducentral S.A.,FONDO ABIERTO 1525 FIDUCENTRAL,FIC DE TIPO GENERAL,282380387023.77,168,7,8.564782,522,14736.991407,RF_CORTO,282.4
3078,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTO RENTA BALANCEADO,FIC DE TIPO GENERAL,276779272212.90027,5554,1,11.380942,800,24302.056164,MIXTO,276.8
11714,Fiduciaria Central S.A. Sigla Fiducentral S.A.,FONDO ABIERTO FIDUCIARIA CENTRAL,FIC DE TIPO GENERAL,273639816822.13998,3890,7,8.204774,536,260679.409648,SIN_CLASIFICAR,273.6
59076,Corredores Davivienda S.A.Comisionista De Bolsa,FIC RENTA FIJA MEDIANO PLAZO MULTIESCALA,FIC DE TIPO GENERAL,262489803652.37,1902,3,8.7499,501,37041.033388,RF_LARGO,262.5
121642,Progresion Scb,FONDO DE INVERSION COLECTIVA ABIERTO GLOBAL VISTA,FIC DE TIPO GENERAL,260757098547.36,26575,1,8.289552,101,28125.170184,INTL_OTRO,260.8
104377,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FIC CERRADO RENTA ALTERNATIVO GLOBAL,FIC DE TIPO GENERAL,256496885697.61984,1620,2,9.7867265,501,12872.476801,INTL_OTRO,256.5
11403,Fiduciaria La Previsora S.A.  Sigla Fiduprevisora S.A.,CARTERA COLECTIVA ABIERTA CON PACTO DE PERMANENCIA EFECTIVO A PLAZOS - CARTERA CON COMPARTIMENTOS,FIC DE TIPO GENERAL,255639180202.0529,178,5,8.750089,516,15153.123761,RF_CORTO,255.6
3814,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTO RENTA FIJA PLAZO,FIC DE TIPO GENERAL,254102330173.16,6478,2,10.504987,501,43620.015726,RF_LARGO,254.1
65875,"Fiduciaria Davivienda S.A. Pudiendo Utilizar La Sigla ""Fidudavivienda S.A.""",FIC FONDO DE SEGURIDAD BOLIVAR,FIC DE TIPO GENERAL,240151038101.41,7062,1,34.44161,800,267247.839542,SIN_CLASIFICAR,240.2
132223,Fiduaval,FONDO DE INVERSIÓN COLECTIVA SIN PACTO DE PERMANENCIA INVERTIR+,FIC DE TIPO GENERAL,235741105016.83002,188,3,9.133648,503,11602.399774,RF_LARGO,235.7
53970,Fiduciaria Sura S.A.,FONDO DE INVERSION COLECTIVA CERRADO SURA CREDITO PRIVADO COLOMBIA,FIC DE TIPO GENERAL,232424796717.15,12,2,9.3009315,801,16486.495285,RF_LARGO,232.4
93229,Credicorp Capital,CREDICORP CAPITAL FACTORING,FIC DE TIPO GENERAL,214292536424.75998,1240,3,10.739083,800,37222.516916,SIN_CLASIFICAR,214.3
99740,Accion Sociedad Fiduciaria S.A.  Sigla Acción Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA ACCION 1525,FIC DE TIPO GENERAL,197885045203.64,311,1,8.350312,504,15436.033518,RV_LOCAL,197.9
59740,Valores Bancolombia S.A. Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA ABIERTO RENTA SOSTENIBLE GLOBAL,FIC DE TIPO GENERAL,173862521295.47,2984,3,-9.695351,803,29035.878756,INTL_OTRO,173.9
105375,Fiduaval,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALTERNATIVOS 180 PLUS,FIC DE TIPO GENERAL,171976898827.4,159,2,12.4216675,544,15406.441914,RF_LARGO,172.0
58735,Acciones Y Valores S.A.  Comisionistas De Bolsa,FONDO DE INVERSION COLECTIVA  ABIERTO ACCIVAL ACCIONES DINAMICO,FIC DE TIPO GENERAL,167251601346.85,51487,2,43.3029685,800,23457.713797,RV_LOCAL,167.3
83314,Credicorp Capital,CREDICORP CAPITAL DERECHOS ECONOMICOS 2026,FIC DE TIPO GENERAL,155679733621.26,326,1,9.227673,800,20184.121228,SIN_CLASIFICAR,155.7
61583,"""Caja Social""",UNIVERSITAS  FONDO DE INVERSION  COLECTIVA ABIERTO CON  PACTO DE  PERMANENCIA,FIC DE TIPO GENERAL,151859466428.42,72610,1,5.449377,800,16305.639019,RF_LARGO,151.9
58897,Credicorp Capital,CREDICORP CAPITAL RENTA FIJA COLOMBIA,FIC DE TIPO GENERAL,135537990202.39,683,2,9.2384605,810,21098.488933,RF_LARGO,135.5
129937,Fiduaval,FONDO DE INVERSION COLECTIVA CERRADO ACCICOLF VANGUARDIA ACCIONES ORDINARIAS,FIC DE TIPO GENERAL,114138793321.63,2,1,48.153816,800,29207.778062,RV_LOCAL,114.1
90278,Acciones Y Valores S.A.  Comisionistas De Bolsa,FONDO DE INVERSIÓN COLECTIVA INMOBILIARIO SIRENTA,FIC INMOBILIARIAS,112379716529.42,8882,1,5.126917,800,14943.61616,SIN_CLASIFICAR,112.4
67403,Alianza Fiduciaria S.A.,FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALIANZA ACCIONES,FIC DE TIPO GENERAL,110153375403.68001,2022,7,37.879535,509,27487.354709,RV_LOCAL,110.2
